respondent_id,age_group,education,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
291,50代,高校,3.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0
292,40代,大学,2.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0
293,20代,大学,3.0,4.0,4.0,2.0,1.0,3.0,3.0,4.0,5.0,5.0
294,40代,大学,3.0,3.0,4.0,4.0,3.0,5.0,4.0,1.0,4.0,2.0
295,40代,大学,4.0,3.0,3.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0
296,30代,専門,3.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0
297,30代,専門,4.0,3.0,4.0,,3.0,5.0,3.0,4.0,2.0,3.0
298,40代,大学院,3.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,2.0
299,20代,大学,4.0,2.0,2.0,4.0,4.0,5.0,2.0,3.0,4.0,4.0
300,20代,大学,5.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0
